,year,title,rating
191,1990,Goodfellas,3.0
192,1990,Dances With Wolves,1.0
193,1989,Field of Dreams,2.0
194,1989,Born on the Fourth of July,3.0
195,1989,Dead Poets Society,1.0
196,1989,My Left Foot: The Story of Christy Brown,3.0
197,1989,Driving Miss Daisy,3.0
198,1988,Mississippi Burning,
199,1988,Dangerous Liaisons,3.0
200,1988,The Accidental Tourist,2.0
201,1988,Working Girl,3.0
202,1988,Rain Man,1.0
203,1987,Broadcast News,3.0
204,1987,Fatal Attraction,3.0
205,1987,Hope and Glory,3.0
206,1987,Moonstruck,3.0
207,1987,The Last Emperor,3.0
208,1986,Hannah and Her Sisters,3.0
209,1986,A Room with a View,3.0
210,1986,Children of a Lesser God,3.0
211,1986,The Mission,0.0
212,1986,Platoon,0.0
213,1985,Kiss of the Spider Woman,2.0
214,1985,Prizzi’s Honor,
215,1985,The Color Purple,3.0
216,1985,Witness,3.0
217,1985,Out of Africa,3.0
218,1984,A Passage to India,3.0
219,1984,A Soldier’s Story,0.0
220,1984,Places in the Heart,
221,1984,The Killing Fields,
222,1984,Amadeus,3.0
223,1983,The Right Stuff,
224,1983,Tender Mercies,
225,1983,The Big Chill,
226,1983,The Dresser,
227,1983,Terms of Endearment,1.0
228,1982,E.T.: The Extra-Terrestrial,3.0
229,1982,Missing,3.0
230,1982,The Verdict,1.0
231,1982,Tootsie,1.0
232,1982,Gandhi,
233,1981,Raiders of the Lost Ark,3.0
234,1981,On Golden Pond,
235,1981,Atlantic City,
236,1981,Reds,3.0
237,1981,Chariots of Fire,1.0
238,1980,Raging Bull,1.0
239,1980,Coal Miner’s Daughter,
240,1980,Tess,
241,1980,The Elephant Man,
242,1980,Ordinary People,2.0
243,1979,Apocalypse Now,0.0
244,1979,All That Jazz,2.0
245,1979,Breaking Away,
246,1979,Norma Rae,
247,1979,Kramer vs. Kramer,1.0
248,1978,An Unmarried Woman,
249,1978,Coming Home,
250,1978,Heaven Can Wait,
251,1978,Midnight Express,0.0
252,1978,The Deer Hunter,1.0
253,1977,Star Wars,1.0
254,1977,Julia,3.0
255,1977,The Goodbye Girl,3.0
256,1977,The Turning Point,3.0
257,1977,Annie Hall,3.0
258,1976,Taxi Driver,1.0
259,1976,Network,3.0
260,1976,All the President’s Men,
261,1976,Bound for Glory,
262,1976,Rocky,1.0
263,1975,Jaws,3.0
264,1975,Barry Lyndon,1.0
265,1975,Dog Day Afternoon,3.0
266,1975,Nashville,3.0
267,1975,One Flew Over the Cuckoo’s Nest,
268,1974,Chinatown,2.0
269,1974,Lenny,
270,1974,The Conversation,1.0
271,1974,The Towering Inferno,1.0
272,1974,"The Godfather, Part II",
273,1973,The Exorcist,3.0
274,1973,A Touch of Class,2.0
275,1973,American Graffiti,2.0
276,1973,Cries and Whispers,
277,1973,The Sting,1.0
278,1972,Cabaret,3.0
279,1972,Deliverance,1.0
280,1972,Sounder,
281,1972,The Emigrants,
282,1972,The Godfather,2.0
283,1971,A Clockwork Orange,1.0
284,1971,Fiddler on the Roof,
285,1971,Nicholas and Alexandra,3.0
286,1971,The Last Picture Show,2.0
287,1971,The French Connection,1.0
288,1970,Airport,3.0
289,1970,Five Easy Pieces,3.0
290,1970,Love Story,1.0
291,1970,MASH,
292,1970,Patton,
293,1969,Butch Cassidy and the Sundance Kid,1.0
294,1969,Anne of the Thousand Days,
295,1969,Hello Dolly!,
296,1969,Z,0.0
297,1969,Midnight Cowboy,1.0
298,1968,Funny Girl,3.0
299,1968,Rachel Rachel,
300,1968,Romeo and Juliet,3.0
301,1968,The Lion in Winter,3.0
302,1968,Oliver!,
303,1967,The Graduate,2.0
304,1967,Bonnie and Clyde,3.0
305,1967,Doctor Dolittle,
306,1967,Guess Who’s Coming to Dinner,
307,1967,,3.0
308,1967,In the Heat of the Night,1.0
309,1966,Alfie,1.0
310,1966,The Russians Are Coming,
311,1966,the Russians Are Coming,
312,1966,The Sand Pebbles,1.0
