,title,year,rating
161,Harry Potter and the Chamber of Secrets,2002,3.0
162,Spider-Man,2002,1.0
163,Star Wars Episode II: Attack of the Clones,2002,3.0
164,Men in Black II,2002,1.0
165,Die Another Day,2002,2.0
166,Signs,2002,1.0
167,Ice Age,2002,0.0
168,My Big Fat Greek Wedding,2002,3.0
169,Minority Report,2002,1.0
170,Harry Potter and the Sorcerer's Stone,2001,3.0
171,The Lord of the Rings: The Fellowship of the Ring,2001,1.0
172,"Monsters, Inc.",2001,1.0
173,Shrek,2001,1.0
174,Ocean's Eleven,2001,1.0
175,Pearl Harbor,2001,2.0
176,The Mummy Returns,2001,3.0
177,Jurassic Park III,2001,2.0
178,Planet of the Apes,2001,3.0
179,Hannibal,2001,3.0
180,Mission: Impossible II,2000,0.0
181,Gladiator,2000,0.0
182,Cast Away,2000,2.0
183,What Women Want,2000,1.0
184,Dinosaur,2000,3.0
185,How the Grinch Stole Christmas,2000,3.0
186,Meet the Parents,2000,2.0
187,The Perfect Storm,2000,
188,X-Men,2000,1.0
189,What Lies Beneath,2000,3.0
190,Star Wars Episode I: The Phantom Menace,1999,3.0
191,The Sixth Sense,1999,3.0
192,Toy Story 2,1999,1.0
193,The Matrix,1999,3.0
194,Tarzan,1999,2.0
195,The Mummy,1999,1.0
196,Notting Hill,1999,3.0
197,The World Is Not Enough,1999,2.0
198,American Beauty,1999,3.0
199,Austin Powers: The Spy Who Shagged Me,1999,1.0
200,Armageddon,1998,1.0
201,Saving Private Ryan,1998,0.0
202,Godzilla,1998,3.0
203,There's Something About Mary,1998,3.0
204,A Bug's Life,1998,3.0
205,Deep Impact,1998,3.0
206,Mulan,1998,3.0
207,Dr. Dolittle,1998,
208,Shakespeare in Love,1998,3.0
209,Lethal Weapon 4,1998,1.0
210,Titanic,1997,3.0
211,The Lost World: Jurassic Park,1997,3.0
212,Men in Black,1997,1.0
213,Tomorrow Never Dies,1997,
214,Air Force One,1997,1.0
215,As Good as It Gets,1997,3.0
216,Liar Liar,1997,1.0
217,My Best Friend's Wedding,1997,2.0
218,The Fifth Element,1997,1.0
219,The Full Monty,1997,2.0
220,Independence Day,1996,3.0
221,Twister,1996,3.0
222,Mission: Impossible,1996,1.0
223,The Rock,1996,1.0
224,The Hunchback of Notre Dame,1996,1.0
225,101 Dalmatians,1996,3.0
226,Ransom,1996,
