,years,title
247,1979,Kramer vs. Kramer
248,1978,An Unmarried Woman
249,1978,Coming Home
250,1978,Heaven Can Wait
251,1978,Midnight Express
252,1978,The Deer Hunter
253,1977,Star Wars
254,1977,Julia
255,1977,The Goodbye Girl
256,1977,The Turning Point
257,1977,Annie Hall
258,1976,Taxi Driver
259,1976,Network
260,1976,All the President’s Men
261,1976,Bound for Glory
262,1976,Rocky
263,1975,Jaws
264,1975,Barry Lyndon
265,1975,Dog Day Afternoon
266,1975,Nashville
267,1975,One Flew Over the Cuckoo’s Nest
268,1974,Chinatown
269,1974,Lenny
270,1974,The Conversation
271,1974,The Towering Inferno
272,1974,"The Godfather, Part II"
273,1973,The Exorcist
274,1973,A Touch of Class
275,1973,American Graffiti
276,1973,Cries and Whispers
277,1973,The Sting
278,1972,Cabaret
279,1972,Deliverance
280,1972,Sounder
281,1972,The Emigrants
282,1972,The Godfather
283,1971,A Clockwork Orange
284,1971,Fiddler on the Roof
285,1971,Nicholas and Alexandra
286,1971,The Last Picture Show
287,1971,The French Connection
288,1970,Airport
289,1970,Five Easy Pieces
290,1970,Love Story
291,1970,MASH
292,1970,Patton
293,1969,Butch Cassidy and the Sundance Kid
294,1969,Anne of the Thousand Days
295,1969,Hello Dolly!
296,1969,Z
297,1969,Midnight Cowboy
298,1968,Funny Girl
299,1968,Rachel Rachel
300,1968,Romeo and Juliet
301,1968,The Lion in Winter
302,1968,Oliver!
303,1967,The Graduate
304,1967,Bonnie and Clyde
305,1967,Doctor Dolittle
306,1967,Guess Who’s Coming to Dinner
307,1967,
308,1967,In the Heat of the Night
309,1966,Alfie
310,1966,The Russians Are Coming
311,1966,the Russians Are Coming
312,1966,The Sand Pebbles
313,1966,Who’s Afraid of Virginia Woolf?
314,1966,A Man for All Seasons
315,1965,Doctor Zhivago
316,1965,A Thousand Clowns
317,1965,Darling
318,1965,Ship of Fools
319,1965,The Sound of Music
320,1964,Mary Poppins
321,1964,Alexis Zorbas
322,1964,Becket
323,1964,Dr. Strangelove
324,1964,
325,1964,My Fair Lady
326,1963,America America
327,1963,Cleopatra
328,1963,How the West Was Won
329,1963,Lilies of the Field
330,1963,Tom Jones
331,1962,Mutiny on the Bounty
332,1962,The Longest Day
333,1962,The Music Man
334,1962,To Kill a Mockingbird
335,1962,Lawrence of Arabia
336,1961,Fanny
337,1961,Judgment at Nuremberg
338,1961,The Guns of Navarone
339,1961,The Hustler
340,1961,West Side Story
341,1960,Elmer Gantry
342,1960,Sons and Lovers
343,1960,The Alamo
344,1960,The Sundowners
345,1960,The Apartment
346,1959,Anatomy of a Murder
347,1959,Room at the Top
348,1959,The Diary of Anne Frank
349,1959,The Nun’s Story
350,1959,Ben-Hur
351,1958,Auntie Mame
352,1958,Cat on a Hot Tin Roof
353,1958,Separate Tables
354,1958,The Defiant Ones
355,1958,Gigi
356,1957,12 Angry Men
